year,ynew,y,death,inj,magnitude,intensity,area,population,log.area,log.population
1998,132.7069978,9.273,0,15,5.5,6,137669,46500,11.83260753,10.74720759
1998,16.71538589,1.168,0,2,4.9,7,524515,30262,13.17022931,10.31764808
1998,746.712638,52.1771,0,3,6,7,770786,137700,13.55516605,11.83283268
1998,1790.01318,125.0785,3,18,6.6,7,1161436,120500,13.96516773,11.69940503
1998,104.8303709,7.3251,0,35,4.8,6,75210,16500,11.22803948,9.71111566
1998,1287.714403,89.98,0,32,5.3,8,1072171,59300,13.88519612,10.99036458
1998,6958.781156,486.25,6,1974,6.2,9,4011426,168800,15.20465735,12.03646986
1998,1389.609563,97.1,0,84,5.1,6,2271073,13500000,14.63576297,16.41820024
1999,258.7046307,22.25,0,0,5.2,6,249576,15084,12.42751876,9.621389858
1999,130.52666,11.226,1,30,5.6,6,189503,68614,12.15216013,11.13625187
1999,190.3135908,16.368,0,3,5.6,6,531092,81339,13.18269054,11.30638089
1999,72.91401075,6.271,0,3,4.7,7,361863,12769,12.79902097,9.454775637
1999,5.906604602,0.508,0,0,5.2,6,15734,10851,9.663579255,9.292012521
1999,356.7124093,30.6792,0,0,5,6,208083,11739,12.24569232,9.370671911
1999,55.38023173,4.763,0,0,5.3,5,48486,21642,10.78903038,9.98239115
1999,676.9340944,58.22,0,11,5,7,618467,42121,13.33499911,10.64830171
1999,53.25245882,4.58,0,3,5,6,182385,5500,12.11387512,8.612503371
1999,13.27125688,1.1414,0,0,5.1,6,43985,7727,10.69160395,8.952475968
1999,1686.31701,145.0324,0,73,5.6,7,142302,88085,11.86570684,11.38605754
1999,890.2927449,76.57,1,12,5.2,6,849682,57633,13.65261744,10.9618506
1999,143.3630605,12.33,0,0,5,6,167371,24833,12.02796818,10.11992869
1999,987.0075817,84.888,0,0,5.6,7,1004000,80000,13.81950258,11.28978191
1999,41.27646917,3.55,1,2,5,6,148263,4563,11.906743,8.425735581
2000,263.2026619,26.5184,0,14,5.1,7,753051.5,38919,13.5318889,10.56923784
2000,10582.43748,1066.21,7,2528,6.5,8,4290422,963904,15.27189565,13.77874698
2000,1029.649004,103.74,0,69,5.7,7,310201,260165,12.64497575,12.46907132
2000,46.36100344,4.671,0,0,5.7,6,3445,12000,8.144679183,9.392661929
2000,32.16784675,3.241,0,0,5.3,7,16633.1,13610,9.719149965,9.518560096
2000,563.7561541,56.8,1,28,4.7,6,54251,19000,10.9013767,9.852194258
2000,714.4447994,71.9823,0,24,5.9,8,177041.04,107226,12.08413685,11.58269404
2000,781.1198825,78.7,2,292,5.1,6,205300,73415,12.2322276,11.20388355
2000,53.78809376,5.4193,0,5,6.6,8,968,245800,6.875232087,12.41227348
2000,502.2193908,50.6,0,17,5.8,6,83604,88400,11.33384664,11.38962725
2001,1614.037188,188.22,3,154,6,6,1136894,51964,13.94381054,10.85830645
2001,478.0712636,55.75,0,6,5,6,326183.8023,45449,12.69521631,10.7243461
2001,10.56901941,1.2325,0,0,5,5,11255,12000,9.328567753,9.392661929
2001,4329.65347,504.9,3,235,5.9,7,39011992.72,669648,17.47937966,13.41450748
2001,1280.630717,149.34,1,71,5.8,8,1648342.753,44149,14.31528095,10.69532556
2001,313.8548564,36.6,1,15,5.3,6,1198635.518,49822,13.9966944,10.81621193
2001,307.0803937,35.81,0,33,4.9,6,350550.44,106128,12.76725988,11.57240119
2001,165.5026975,19.3,0,1,5.3,6,4600400.678,68145,15.34165396,11.12939307
2001,10.03306508,1.17,0,0,5.3,6,28760,53727.5,10.26674081,10.89168025
2001,323.2876527,37.7,0,4,5.1,6,959990.901,61750,13.77467909,11.03084925
2001,3520.148048,410.5,1,220,6,7,6051466.591,344916,15.61581121,12.75105619
2001,377.0691691,43.9717,0,2,8.1,6,1280810.5,209592.5,14.06300364,12.25292045
2002,220.9190681,30.34,0,9,5.3,7,430563,30524,12.97284893,10.32626854
2002,63.61216752,8.7362,0,0,4,6,292157,12999,12.58504661,9.47262771
2002,58.30690605,8.0076,0,0,5,6,123176,27000,11.72136951,10.20359214
2002,511.1698794,70.2017,2,350,5.9,7,130726,6500,11.78085881,8.779557456
2002,221.7819194,30.4585,0,1,5.7,6,340913,33889,12.73938259,10.43084576
2003,201.2188312,31.2,0,0,5.4,6,508849,67988,13.13990659,11.1270865
2003,3.224660757,0.5,0,0,5.4,6,734419.9505,659392,13.50683628,13.39907348
2003,9015.635531,1397.92,268,4853,6.8,9,9722188,20000,16.08992125,9.903487553
2003,472.3483077,73.24,0,0,6.6,8,243119,18260,12.40130631,9.812468154
2003,83.97016611,13.02,0,1,4.5,6,557814,134254,13.23178085,11.80748881
2003,497.8876209,77.2,1,3,5.8,7,1106173,101965,13.91641687,11.5323849
2003,11.54428551,1.79,0,0,4.8,6,2550,42718,7.843848638,10.66237566
2003,36.18069369,5.61,1,1,4.8,6,85670,322962,11.35825798,12.68528995
2003,3817.353404,591.9,16,793,6.2,8,7865282,480869,15.87796895,13.08335016
2003,5201.313308,806.49,4,1064,5.9,8,108675,40000,11.59611706,10.59663473
2003,280.0295401,43.42,2,14,5.7,7,882487,114396,13.69049934,11.64742139
2003,141.0466615,21.87,0,9,5,6,197825,7970,12.19513808,8.983439772
2003,54.62575322,8.47,0,0,5.9,6,247298.5,53801.5,12.41835139,10.89305663
2003,492.4701908,76.36,0,0,7.9,6,807235,283169,13.60137011,12.55379917
2003,2680.338021,415.6,3,57,6.1,8,4847217,190101,15.39391528,12.15531079
2003,3496.693138,542.18,10,46,6.1,8,3603645,2500,15.09745639,7.824046011
2003,567.0243475,87.92,1,133,5.2,8,1228635,60905,14.02141436,11.01707055
2003,1237.624799,191.9,4,94,5.1,7,3154871,236652,14.96445817,12.37434599
2003,3.547126833,0.55,0,11,4.9,6,1440,46884.5,7.272398393,10.75544241
2003,599.7869008,93,0,24,5,7,1509467,246732,14.22726717,12.41605801
2003,1162.554696,180.26,10,44,6.1,8,1633474,92004,14.30621959,11.42958733
2004,85.88073492,14.62,0,5,5.6,6,424881,52730.5,12.95956441,10.87294931
2004,1190.816866,202.72,1,5,5.9,7,760974,53000,13.54235447,10.87804719
2004,121.0277488,20.60329,0,0,5.9,6,305094,55639,12.6283752,10.92663967
2004,90.16889747,15.35,1,9,4.7,6,394340,48320,12.88496876,10.78560083
2004,95.28943349,16.2217,0,0,6.7,6,61283,53801.5,11.02325776,10.89305663
2004,1951.760122,332.26,4,597,5.6,8,3708344,313556,15.12609597,12.65573325
2004,4.89790402,0.8338,0,0,5.8,6,1855,61813.5,7.525639975,11.03187707
2004,387.7079904,66.00189,1,36,5,7,801994,40838,13.59485641,10.6173683
2004,135.5881753,23.082,0,0,4.9,6,7359,54296.5,8.903679333,10.90221505
2004,1275.875214,217.2,0,16,5,6,2361334,398327,14.67473727,12.89502855
2004,239.0797477,40.7,1,20,5,6,524959,35715,13.17107544,10.48332605
2005,34.69679027,6.53,0,0,4.7,6,118422,5692,11.68200979,8.646816959
2005,280.5498508,52.8,0,5,5,6,564178,39987,13.24312508,10.59630968
2005,837.2622417,157.5743,0,0,6.2,7,2078465,173078,14.5471402,12.06149764
