"","year","yraw","y1","magnitude","death","inj","intensity","y2","f1","f2","u1","u2","u2_","magnitude.f"
"91",1998,9.763,13.7002682481752,6.1,0,0,6,0,0.0109326257279537,0.35843056944662,0.209808097216523,0.35843056944662,0,"(6,9]"
"92",1998,9.273,13.0126587591241,5.5,0,15,6,15,0.011197511390696,0.00722006340860145,0.202200289167928,0.635832309162823,0.628612245754221,"(5.2,6]"
"93",1998,1.168,1.63903649635036,4.9,0,2,7,2,0.0197658207356603,0.0385348304655191,0.0386867795360307,0.462406392443888,0.423871561978369,"(3.9,5.2]"
"94",1998,52.1771,73.2193246350365,6,0,3,7,3,0.00285636325841455,0.0279097183623652,0.538836193150147,0.490316110806254,0.462406392443888,"(5.2,6]"
"95",1998,125.0785,175.520741788321,6.6,3,18,7,21,0.00091992344611628,0.00560390342269328,0.70303263444434,0.6724122043305,0.666666666666667,"(6,9]"
"96",1998,7.3251,10.2792005474453,4.8,0,35,6,35,0.0123755741412952,0.00317330061881452,0.170031832694799,0.731208606920563,0.72798043015834,"(3.9,5.2]"
"97",1998,89.98,126.267554744526,5.3,0,32,8,32,0.00144672911288265,0.00352587121977107,0.646309013952178,0.72117518745162,0.717583917732722,"(5.2,6]"
"98",1998,486.25,682.347171532847,6.2,6,1974,9,1980,0.000118700399170433,9.56539150474495e-06,0.864167589659043,0.964310012678875,0.964300443600833,"(6,9]"
"99",1998,97.1,136.258941605839,5.1,0,84,6,84,0.00130603098534617,0.00102883219462149,0.660041825566399,0.818340707657387,0.817303424233271,"(3.9,5.2]"
"100",1999,22.25,31.6709856547895,5.2,0,0,6,0,0.00648150577931905,0.35843056944662,0.360729513484485,0.35843056944662,0,"(3.9,5.2]"
"101",1999,11.226,15.9792577510412,5.6,1,30,6,31,0.0101274592566368,0.00365800679456173,0.233786014796306,0.717583917732722,0.713856379403383,"(5.2,6]"
"102",1999,16.368,23.2984581212402,5.6,0,3,6,3,0.00810473240023091,0.0279097183623652,0.300064540475978,0.490316110806254,0.462406392443888,"(5.2,6]"
"103",1999,6.271,8.926236001851,4.7,0,3,7,3,0.0130506988414516,0.0279097183623652,0.152839531859841,0.490316110806254,0.462406392443888,"(3.9,5.2]"
"104",1999,0.508,0.723094863489125,5.2,0,0,6,0,0.0227052064456222,0.35843056944662,0.0194238782607978,0.35843056944662,0,"(3.9,5.2]"
"105",1999,30.6792,43.6692360944007,5,0,0,6,0,0.00490854075029792,0.35843056944662,0.428378537819244,0.35843056944662,0,"(3.9,5.2]"
"106",1999,4.763,6.77972605275335,5.3,0,0,5,0,0.0142999927639983,0.35843056944662,0.12353113261261,0.35843056944662,0,"(5.2,6]"
"107",1999,58.22,82.8712262841277,5,0,11,7,11,0.00246910407635782,0.00946721257777567,0.564464923217662,0.603970762102653,0.594503549524877,"(3.9,5.2]"
