"","year","yraw","y1","magnitude","death","inj","intensity","log.area","log.population","y2"
"147",2003,77.2,108.259493959426,5.8,1,3,7,13.91641687,11.5323849,4
"148",2003,1.79,2.51016184180533,4.8,0,0,6,7.843848638,10.66237566,0
"149",2003,5.61,7.8670435377251,4.8,1,1,6,11.35825798,12.68528995,2
"150",2003,591.9,830.036197857306,6.2,16,793,8,15.87796895,13.08335016,809
"151",2003,806.49,1130.96113061318,5.9,4,1064,8,11.59611706,10.59663473,1068
"152",2003,43.42,60.8889537269205,5.7,2,14,7,13.69049934,11.64742139,16
"153",2003,21.87,30.6688488716663,5,0,9,6,12.19513808,8.983439772,9
"154",2003,8.47,11.8776931844085,5.9,0,0,6,12.41835139,10.89305663,0
"155",2003,76.36,107.081540916344,7.9,0,0,6,13.60137011,12.55379917,0
"156",2003,415.6,582.80629131525,6.1,3,57,8,15.39391528,12.15531079,60
"157",2003,542.18,760.312596307272,6.1,10,46,8,15.09745639,7.824046011,56
"158",2003,87.92,123.292418509232,5.2,1,133,8,14.02141436,11.01707055,134
"159",2003,191.9,269.106177342147,5.1,4,94,7,14.96445817,12.37434599,98
"160",2003,0.55,0.771278778208343,4.9,0,11,6,7.272398393,10.75544241,11
"161",2003,93,130.416229769774,5,0,24,7,14.22726717,12.41605801,24
"162",2003,180.26,252.783113745156,6.1,10,44,8,14.30621959,11.42958733,54
"163",2004,14.62,19.7328301886792,5.6,0,5,6,12.95956441,10.87294931,5
"164",2004,202.72,273.614181658622,5.9,1,5,7,13.54235447,10.87804719,6
"165",2004,20.60329,27.8085651777095,5.9,0,0,6,12.6283752,10.92663967,0
"166",2004,15.35,20.718121983326,4.7,1,9,6,12.88496876,10.78560083,10
"167",2004,16.2217,21.8946683633172,6.7,0,0,6,11.02325776,10.89305663,0
"168",2004,332.26,448.456235190873,5.6,4,597,8,15.12609597,12.65573325,601
"169",2004,0.8338,1.12539218955682,5.8,0,0,6,7.525639975,11.03187707,0
"170",2004,66.00189,89.0837269153137,5,1,36,7,13.59485641,10.6173683,37
"171",2004,23.082,31.1541167178587,4.9,0,0,6,8.903679333,10.90221505,0
"172",2004,217.2,293.158051777095,5,0,16,6,14.67473727,12.89502855,16
"173",2004,40.7,54.9333918385257,5,1,20,6,13.17107544,10.48332605,21
"174",2005,6.53,8.65787931034483,4.7,0,0,6,11.68200979,8.646816959,0
"175",2005,52.8,70.0055172413793,5,0,5,6,13.24312508,10.59630968,5
"176",2005,157.5743,208.921787413793,6.2,0,0,7,14.5471402,12.06149764,0
"177",2005,10.342,13.7120655172414,6.5,0,0,6,9.888373915,9.210340372,0
"178",2005,41.874,55.5191482758621,5.9,0,0,6,11.78696743,9.210340372,0
"179",2005,27.4468,36.3906710344828,5.1,1,11,6,11.54503441,11.03802989,12
"180",2005,169.98,225.370034482759,5.3,0,44,6,14.84716718,12.64059481,44
"181",2005,92.2,122.244482758621,5.3,0,29,6,13.81214691,11.75684372,29
"182",2005,6.447,8.54783275862069,5.2,0,0,6,11.01629856,8.135346949,0
"183",2005,25.32,33.5708275862069,4.4,1,3,6,9.360655133,9.954418281,4
"184",2005,2037.5939,2701.56846396552,5.7,13,775,7,16.68630878,14.10818017,788
"185",2006,110.6,144.460976645435,5,0,1,6,13.44502062,11.00663952,1
"186",2006,4.4926,5.86804144373673,4.3,0,1,6,11.56967435,10.24076304,1
"187",2006,110.6836,144.570171380042,5,0,2,6,13.02488064,11.35040654,2
"188",2006,5.1848,6.7721633970276,5.6,0,0,6,9.411320111,10.54802205,0
"189",2006,73.3515,95.8085834394905,5,1,19,6,13.54083079,11.14264409,20
"190",2006,9.8017,12.8025601698514,5.1,0,0,5,11.30889153,10.30895266,0
"191",2006,42.5389,55.5624867940552,5.6,0,0,7,12.67841416,9.084777149,0
"192",2006,239,312.171549893843,5.1,22,114,6,14.13461426,11.92614708,136
"193",2006,202.7,264.75804670913,5.1,2,67,7,13.98328177,12.47815111,69
"194",2006,1.2639,1.65085197452229,5.1,0,0,6,9.990811381,10.84225381,0
"195",2007,10.0173,12.4850951377634,4.7,0,0,6,10.4479607,12.42118403,0
"196",2007,1898.6,2366.32641815235,6.4,3,419,8,15.9861777,12.90700941,422
"197",2007,110.6033,137.850790437601,5.7,0,0,7,14.22176669,11.66000837,0
"198",2008,20.06,23.6099330399847,4.6,0,1,6,12.62832768,11.21746656,1
"199",2008,194.799,229.271752056629,7.3,0,0,7,14.09421445,12.1348344,0
"200",2008,64.8,76.2673809068299,5,0,0,6,13.07569306,11.10981758,0
"201",2008,1.5802,1.85984128563229,4.2,0,0,6,8.188411308,10.46310334,0
"202",2008,39.3305,46.2906516166061,5,0,0,6,12.78832458,9.740968623,0
"203",2008,85.8441,101.035565946049,5.1,0,0,6,13.4894909,10.29785801,0
"204",2008,13.2264,15.5670198584274,4.2,0,0,6,12.43776356,9.740968623,0
"205",2008,845110,994665.528984121,8,69227,375783,11,20.54034718,18.46823205,445010
"206",2008,32.1749,37.8687554620241,5.2,0,0,6,11.31743356,10.6454249,0
"207",2008,1308,1539.47120719342,5.9,5,130,8,15.24871522,12.78098513,135
"208",2008,4461.87,5251.46819207959,6.1,41,1010,8,16.51665651,14.04662228,1051
"209",2008,36.4418,42.890750640903,5.3,0,0,6,11.88450971,9.245514447,0
"210",2008,67.284,79.1909638415917,6.8,0,0,7,12.56741518,10.32153978,0
"211",2008,411.37,484.168402525349,6.6,10,60,8,14.01916299,11.70689558,70
"212",2008,266.1132,313.206123282954,6.3,0,3,7,9.922014857,11.18719532,3
"213",2008,4.451,5.23867457432562,4.1,0,1,6,11.40111083,8.987196821,1
"214",2008,179.6,211.383049550411,4.9,0,22,6,13.49340404,11.6030038,22
"215",2009,46.1203,54.6689952986513,5,0,0,6,12.48819052,9.536112711,0
"216",2009,90.6836,107.492390597303,5.2,0,0,6,12.98762898,10.91126297,0
"217",2009,46.3594,54.9524140269749,5.5,0,0,6,12.55302195,10.44009788,0
"218",2009,21.8175,25.8615144508671,5,0,0,6,11.76076943,9.532278933,0
"219",2009,2154,2553.25780346821,6,1,372,8,15.95390085,13.5963665,373
"220",2009,22.73,26.9431522157996,4,2,1,6,12.04815195,12.59811473,3
"221",2009,110.8097,131.348993140655,6.4,0,0,7,10.94247368,9.61580548,0
"222",2009,245.3,290.767938342967,5,0,31,6,13.67269506,11.61490427,31
"223",2010,294.05,337.436224584965,5,1,16,7,16.01702415,12.98768847,17
"224",2010,18.0885,20.7574057078903,4.2,0,0,5,11.03217631,7.43838353,0
"225",2010,354.4,406.690692035068,5.1,0,35,6,16.13935584,12.0107935,35
"226",2010,10.6168,12.1832780451408,4.5,0,0,5,12.70798063,9.008101781,0
"227",2010,22847.41,26218.4790747995,7.1,2698,11000,9,16.67888835,12.34670378,13698
"228",2010,4.2775,4.90863271777653,4.6,0,0,5,10.4784141,8.037220031,0
"229",2010,24.08,27.6329341540757,5.1,0,0,6,11.01485153,7.677863501,0
"230",2010,14.4585,16.5918097369894,4.7,0,12,6,10.89673933,10.50854095,12
"231",2011,232.351,252.995283539823,4.8,0,0,6,13.78362043,10.90087889,0
"232",2011,2384.8,2596.68842477876,5.8,25,314,7,15.61435768,12.77545487,339
"233",2011,337.6,367.595610619469,7.2,0,12,6,14.03078725,12.35852331,12
"234",2011,178.58,194.446753982301,5.3,0,4,7,12.51897646,10.30695066,4
"235",2011,92.2517,100.448222725664,5.3,0,7,6,13.3066846,11.08214255,7
"236",2011,278.4,303.135716814159,5.2,0,6,6,13.74908973,11.99978621,6
"237",2011,65.0281,70.8058179115044,5.2,0,0,6,12.53321218,11.28079162,0
"238",2011,33.3,36.2586902654867,5.2,0,0,6,12.98797905,9.55286568,0
"239",2011,149.9,163.218548672566,5.2,0,6,6,13.27020045,12.1260116,6
"240",2011,183.2219,199.501084743363,5.8,0,21,7,13.48799767,10.77071408,21
"241",2011,2.9177,3.1769363539823,5.5,0,0,6,9.692766521,7.469083885,0
"242",2011,1333.65,1452.14421238938,6.8,7,136,7,14.39704941,11.28444269,143
"243",2011,11.8505,12.9034116814159,5,0,0,6,11.55473897,9.173468897,0
"244",2011,678.46,738.74087079646,6,0,0,7,15.27020418,13.01700286,0
"245",2011,48.59,52.9072,5.2,0,0,6,12.52264825,11.19238957,0
"246",2012,42.0811,44.658086458513,5,0,0,6,12.46822535,9.85377196,0
"247",2012,523.251,555.294143867518,6,0,0,6,14.75287605,10.71441777,0
"248",2012,8.6161,9.14373765740901,5.4,0,0,7,8.750683035,10.858999,0
"249",2012,45.4701,48.2546239779196,5.4,0,0,6,11.36376399,8.809862805,0
"250",2012,771.54,818.788007590133,5.7,4,442,7,14.32254741,11.66306812,446
"251",2012,1990.321,2112.20541521477,6.6,0,52,8,15.70717976,13.22221414,52
"252",2012,15.426,16.3706662066586,4.9,1,3,6,12.74366775,11.53761808,4
"253",2012,49.5802,52.616420631361,6.2,0,0,7,12.32319324,10.10073877,0
"254",2012,4771.04,5063.21167500431,5.7,81,834,8,16.08651881,13.63948911,915
"255",2012,6.3618,6.75138754528204,5.5,0,0,6,10.76852709,8.699514748,0
"256",2012,63.8819,67.7939363118855,5.1,0,0,6,12.42995193,10.30061802,0
"257",2013,120.99,125.139623402824,5.4,0,0,7,12.08532209,10.14447102,0
"258",2013,82.52,85.3502084734365,6.1,0,0,6,12.10857006,10.28474535,0
"259",2013,708,732.282447881641,5.5,0,30,7,14.3746388,11.86067671,30
"260",2013,23.97,24.7921049092132,5.2,0,0,6,11.34604409,8.060855753,0
"261",2013,7.91,8.18129119031607,5.6,0,0,6,10.55216024,7.934513464,0
"262",2013,208.78,215.940578345662,5,0,14,7,13.06043053,12.01048346,14
"263",2013,66513.7,68794.9365164761,7,196,13019,9,17.85126773,14.59649827,13215
"264",2013,647.2,669.397175521184,5.5,0,13,7,14.69201459,11.52922195,13
